ID,AdmLevel,Year,Source,Country,Region_code,Region,PopRural,HA,CountryHA_Sum,Country_HA_FAOSTAT14,HA_FAO14adj,HA_PerCapita,HA_PerCapita_FAO14Adj
615,1,2008,IITA,United Republic of Tanzania,TZA007,NA,181769,NA,951212,800454,NA,NA,NA
616,1,2008,IITA,United Republic of Tanzania,TZA008,Kigoma,2211405,56094,951212,800454,47203.63775,0.025365774,0.021345542
617,1,2008,IITA,United Republic of Tanzania,TZA009,Kilimanjaro,1511759,4412,951212,800454,3712.740218,0.002918455,0.002455907
618,1,2008,IITA,United Republic of Tanzania,TZA010,NA,118045,NA,951212,800454,NA,NA,NA
619,1,2008,IITA,United Republic of Tanzania,TZA011,NA,179547,NA,951212,800454,NA,NA,NA
620,1,2008,IITA,United Republic of Tanzania,TZA012,L. Victoria,353029,81400,951212,800454,68498.8789,0.230575958,0.194031875
621,1,2008,IITA,United Republic of Tanzania,TZA013,Lindi,952456,9730,951212,800454,8187.888105,0.010215695,0.008596605
622,1,2008,IITA,United Republic of Tanzania,TZA014,Mara,1645410,54229,951212,800454,45634.22241,0.032957743,0.027734256
623,1,2008,IITA,United Republic of Tanzania,TZA015,Mbeya,2551493,11360,951212,800454,9559.548702,0.004452295,0.003746649
624,1,2008,IITA,United Republic of Tanzania,TZA016,NA,183999,NA,951212,800454,NA,NA,NA
625,1,2008,IITA,United Republic of Tanzania,TZA017,Morogoro,2203607,46949,951212,800454,39508.03275,0.021305523,0.017928802
626,1,2008,IITA,United Republic of Tanzania,TZA018,Mtwara,1335987,222227,951212,800454,187006.147,0.166339193,0.139976023
627,1,2008,IITA,United Republic of Tanzania,TZA019,Mwanza,3607939,66675,951212,800454,56107.6505,0.01848008,0.015551164
628,1,2008,IITA,United Republic of Tanzania,TZA020,NA,1346121,NA,951212,800454,NA,0.014243165,0.01198576
629,1,2008,IITA,United Republic of Tanzania,TZA021,Rukwa,1589774,9449,951212,800454,7951.423916,0.005943612,0.005001606
630,1,2008,IITA,United Republic of Tanzania,TZA022,Ruvuma,1463762,24927,951212,800454,20976.30902,0.017029408,0.01433041
631,1,2008,IITA,United Republic of Tanzania,TZA023,Shinyanga,3754982,33669,951212,800454,28332.78567,0.008966488,0.007545385
632,1,2008,IITA,United Republic of Tanzania,TZA024,Singida,1505225,48982,951212,800454,41218.8217,0.032541314,0.027383827
633,1,2008,IITA,United Republic of Tanzania,TZA025,Tabora,2302257,37820,951212,800454,31825.89189,0.016427358,0.013823779
634,1,2008,IITA,United Republic of Tanzania,TZA026,Tanga,1993327,3501,951212,800454,2946.125001,0.00175636,0.001477994
635,1,2007,IITA,Zambia,ZMB001,Central,1381374,9553,208060,157694,7240.463241,0.006915578,0.005241494
636,1,2007,IITA,Zambia,ZMB002,Copperbelt,1060321,2335,208060,157694,1769.756272,0.002202163,0.001669076
637,1,2007,IITA,Zambia,ZMB003,Eastern,1790461,3609,208060,157694,2735.353485,0.002015682,0.001527737
638,1,2007,IITA,Zambia,ZMB005,Luapula,1031015,53356,208060,157694,40439.87823,0.051750944,0.039223366
639,1,2007,IITA,Zambia,ZMB006,Lusaka,773255,NA,208060,157694,NA,0.001007841,0.000763868
640,1,2007,IITA,Zambia,ZMB007,North Western,755626,31844,208060,157694,24135.38275,0.042142541,0.031940911
641,1,2007,IITA,Zambia,ZMB008,Northern,1963342,83288,208060,157694,63126.10724,0.042421544,0.032152374
642,1,2007,IITA,Zambia,ZMB009,Southern,1696332,0,208060,157694,0,0.001007841,0.000763868
643,1,2007,IITA,Zambia,ZMB010,Western,968872,24075,208060,157694,18247.05878,0.024848484,0.018833302
644,0,2014,FAO,Zimbabwe,ZIM001,Zimbabwe,11653423,50528,50528,50528,50528,0.004335893,0.004335893
